,BedNumber,BathNumber,HouseSize,LotSize,ZipCode,Price
221,3.0,2.0,1272.0,8760.0,"Chatsworth, CA 91311",699000.0
222,,,2427.0,6679.0,"Los Angeles, CA 90047",750000.0
223,5.0,6.0,2604.0,7800.0,"Los Angeles, CA 90037",1199000.0
224,4.0,3.0,2046.0,9984.0,"North Hills, CA 91343",875000.0
225,4.0,2.0,1584.0,7041.0,"Tarzana, CA 91335",799000.0
226,4.0,4.0,2594.0,16587.0,"Sherman Oaks, CA 91423",1275000.0
227,4.0,2.5,2504.0,8402.0,"Lake Balboa, CA 91406",950000.0
228,4.0,2.5,2894.0,17896.5,"Sherwood Forest, CA 91325",1424900.0
229,4.0,2.5,1605.0,5940.0,"Valley Glen, CA 91606",895000.0
230,4.0,3.0,2823.0,15714.0,"Porter Ranch, CA 91326",1100000.0
231,,,2880.0,6500.0,"Los Angeles, CA 90019",1499000.0
232,3.0,2.0,1477.0,7602.0,,780000.0
233,3.0,2.5,1608.0,23571.0,"Studio City, CA 91604",900000.0
234,3.0,2.0,2218.0,10912.5,"Porter Ranch, CA 91326",999950.0
235,3.0,2.0,1889.0,9525.0,"Porter Ranch, CA 91326",899000.0
236,3.0,2.5,1799.0,60236.99999999999,"Canoga Park, CA 91303",699999.0
237,6.0,4.5,5350.0,91665.0,"Studio City, CA 91604",5940000.0
238,4.0,3.5,2094.0,6632.0,"Los Angeles, CA 90068",1599999.0
239,4.0,3.0,1744.0,23134.5,"Northridge, CA 91324",1200000.0
240,5.0,3.5,3207.0,16587.0,"Encino, CA 91316",2589000.0
241,4.0,3.5,4535.0,20515.5,"Encino, CA 91316",3299000.0
242,3.0,2.0,2254.0,13095.0,"Woodland Hills, CA 91367",1199000.0
243,3.0,2.5,1737.0,5496.0,"Encino, CA 91316",989000.0
244,4.0,2.0,1368.0,7600.0,"Chatsworth, CA 91311",849900.0
245,4.0,2.5,1527.0,8008.0,"Canoga Park, CA 91303",879999.0
246,5.0,3.0,2818.0,13095.0,"Encino, CA 91316",1700000.0
247,2.0,1.0,1075.0,25317.0,"Northridge, CA 91325",1400000.0
248,3.0,2.0,1320.0,7210.0,"Woodland Hills, CA 91367",879900.0
249,3.0,2.0,1745.0,5600.0,"Woodland Hills, CA 91364",999000.0
250,3.0,3.0,3289.0,11349.0,"Los Angeles, CA 90025",1495000.0
251,4.0,6.0,5360.0,5672.0,"Los Angeles, CA 90069",3488000.0
252,3.0,2.0,1825.0,6608.0,"Los Angeles, CA 90037",790000.0
253,4.0,2.0,1537.0,4797.0,"Los Angeles, CA 90002",650000.0
254,4.0,2.0,1272.0,3210.0,"Los Angeles, CA 90047",579000.0
255,3.0,2.0,1699.0,7939.0,"North Hills, CA 91343",749000.0
256,6.0,3.0,2558.0,7200.0,"Torrance, CA 90501",735000.0
257,4.0,2.0,1596.0,7200.0,"Torrance, CA 90501",665000.0
258,2.0,2.5,1246.0,33174.0,"Encino, CA 91316",575000.0
259,3.0,2.0,1520.0,7867.0,"Lake Balboa, CA 91406",899000.0
260,3.0,2.0,1262.0,185076.0,"Los Angeles, CA 90042",599000.0
261,1.0,1.0,530.0,26626.5,"Los Angeles, CA 90017",390000.0
262,2.0,2.5,1511.0,13095.0,"Los Angeles, CA 90035",849000.0
263,3.0,2.0,1785.0,12658.5,"Los Angeles, CA 90008",1199000.0
264,2.0,2.0,1380.0,4599.0,"San Pedro, CA 90731",899900.0
265,2.0,3.0,1394.0,1000.0,"Los Angeles, CA 90028",950000.0
266,4.0,2.0,1650.0,8190.0,"North Hills, CA 91343",837900.0
267,2.0,2.0,1428.0,33610.5,"Studio City, CA 91602",799000.0
268,2.0,2.0,1326.0,13095.0,"Los Angeles, CA 90064",925000.0
269,7.0,5.0,2524.0,6152.0,"Los Angeles, CA 90004",1395000.0
270,2.0,2.0,1929.0,260154.0,"Marina del Rey, CA 90292",1149000.0
271,3.0,2.0,1158.0,4648.0,"Los Angeles, CA 90065",1049000.0
272,3.0,2.0,1639.0,5130.0,"Los Angeles, CA 90064",1649000.0
273,2.0,2.0,1116.0,4996.0,"Los Angeles, CA 90004",1499000.0
274,3.0,2.0,1824.0,6399.0,,1350000.0
275,3.0,3.5,2489.0,1329.0,"Los Angeles, CA 90012",1295000.0
276,3.0,2.0,1437.0,5750.0,"Los Angeles, CA 90064",1595000.0
277,3.0,2.0,1755.0,6384.0,"Los Angeles, CA 90035",1690000.0
278,3.0,3.5,2475.0,1359.0,"Los Angeles, CA 90012",1349000.0
279,1.0,1.5,890.0,59364.00000000001,"Marina del Rey, CA 90292",699000.0
280,2.0,2.5,1547.0,553045.5,"Marina del Rey, CA 90292",1089000.0
281,2.0,2.0,1424.0,8494.0,"Studio City, CA 91604",1495000.0
282,3.0,2.0,1800.0,5859.0,"Los Angeles, CA 90027",1498000.0
283,3.0,3.5,2489.0,1324.0,"Los Angeles, CA 90012",1349000.0
284,3.0,2.5,1863.0,6998.0,"Los Angeles, CA 90041",1449900.0
285,4.0,3.5,3390.0,11349.0,"Beverly Hills, CA 90210",3195000.0
286,3.0,3.5,3600.0,5606.0,"Los Angeles, CA 90049",5495000.0
287,3.0,3.5,2835.0,9500.0,"Los Angeles, CA 90077",3795000.0
288,3.0,3.5,2226.0,1498.0,"Los Angeles, CA 90012",1465000.0
289,4.0,4.5,4744.0,6164.0,"Los Angeles, CA 90048",4199000.0
290,3.0,3.5,3782.0,13531.5,"Los Angeles, CA 90046",3095000.0
291,6.0,5.0,2684.0,8255.0,,1799000.0
292,,,17241.0,9007.0,"Los Angeles, CA 90020",5875000.0
293,5.0,4.0,3645.0,9361.0,"Pacific Palisades, CA 90272",3845000.0
294,2.0,1.0,740.0,6634.0,"Los Angeles, CA 90065",600000.0
295,2.0,2.0,885.0,7100.0,"Van Nuys, CA 91401",405000.0
296,2.0,1.0,1090.0,4520.0,"Los Angeles, CA 90047",545000.0
297,1.0,1.0,650.0,80316.0,,229900.0
298,2.0,1.0,544.0,2543.0,"North Hollywood, CA 91606",520000.0
299,3.0,2.5,1460.0,16150.5,"Torrance, CA 90501",549000.0
300,2.0,2.0,1011.0,184639.50000000003,"Los Angeles, CA 90042",585000.0
301,2.0,2.0,1302.0,5400.0,"Los Angeles, CA 90043",989000.0
302,2.0,1.0,716.0,3321.0,"Los Angeles, CA 90003",464999.0
303,3.0,2.0,1470.0,6051.0,"Arleta, CA 91331",769000.0
304,2.0,2.5,1270.0,23134.5,"Studio City, CA 91602",729000.0
305,3.0,2.0,1258.0,6215.0,"Los Angeles, CA 90042",894000.0
306,5.0,2.0,1878.0,8429.0,,750000.0
307,3.0,2.0,1335.0,6512.0,"Los Angeles, CA 90045",999000.0
308,3.0,2.0,1250.0,7398.0,"West Hills, CA 91307",775000.0
309,3.0,2.0,1706.0,7703.0,"West Hills, CA 91307",949000.0
310,2.0,2.0,1136.0,590148.0,"Los Angeles, CA 90016",849900.0
311,2.0,2.0,1098.0,18333.0,"Los Angeles, CA 90034",749990.0
312,5.0,3.0,1200.0,5698.0,"Los Angeles, CA 90011",720000.0
313,3.0,2.0,1378.0,7151.0,"Granada Hills, CA 91344",799000.0
314,2.0,2.5,1727.0,4942.0,"Los Angeles, CA 90042",1249000.0
315,3.0,2.0,1549.0,5200.0,"Los Angeles, CA 90016",999000.0
316,2.0,1.0,880.0,96903.00000000001,"Los Angeles, CA 90024",679000.0
317,3.0,2.5,1770.0,6747.0,"North Hollywood, CA 91602",1300000.0
318,8.0,3.0,3381.0,24007.500000000004,"Los Angeles, CA 90041",4000000.0
319,2.0,2.0,1151.0,,"Los Angeles, CA 90066",745000.0
320,1.0,1.0,714.0,40594.5,"Los Angeles, CA 90049",550000.0
321,7.0,5.0,1988.0,5598.0,"Los Angeles, CA 90061",920000.0
322,2.0,2.0,1400.0,12658.5,"Los Angeles, CA 90025",899000.0
323,4.0,4.0,2509.0,6657.0,"Los Angeles, CA 90022",1150000.0
324,6.0,7.5,9500.0,33610.5,"Beverly Hills, CA 90210",13975000.0
325,3.0,3.0,1510.0,9775.0,"Los Angeles, CA 90008",1225000.0
326,3.0,2.5,1778.0,5220.0,"Van Nuys, CA 91405",988000.0
327,4.0,2.0,1842.0,5628.0,"Los Angeles, CA 90066",1299999.0
328,6.0,5.0,4031.0,6499.0,"Los Angeles, CA 90026",1420000.0
329,4.0,2.5,2292.0,7636.0,"Los Angeles, CA 90015",1495000.0
330,4.0,5.0,2820.0,6504.0,"Los Angeles, CA 90035",1999990.0
331,5.0,5.5,4343.0,6843.0,"Los Angeles, CA 90045",4295000.0
332,2.0,2.0,1575.0,6500.0,"Studio City, CA 91604",1428888.0
333,4.0,4.5,4300.0,11349.0,"Los Angeles, CA 90068",3395000.0
334,5.0,4.5,4596.0,17896.5,"Los Angeles, CA 90077",4995000.0
335,5.0,4.5,2632.0,6752.0,"Los Angeles, CA 90004",3149000.0
336,2.0,1.0,1162.0,4800.0,"Los Angeles, CA 90043",600000.0
337,,,2748.0,8305.0,"Los Angeles, CA 90003",850000.0
338,3.0,2.0,1061.0,109998.0,"Granada Hills, CA 91344",409000.0
339,4.0,3.0,1940.0,6303.0,"Los Angeles, CA 90062",895000.0
340,3.0,2.0,1422.0,5940.0,"Los Angeles, CA 90003",629900.0
341,2.0,2.0,1047.0,39721.5,"Sherman Oaks, CA 91403",545000.0
342,2.0,3.0,1584.0,37975.5,"Sherman Oaks, CA 91411",699000.0
343,2.0,1.0,714.0,4005.0,"Sunland, CA 91040",539000.0
344,3.0,2.0,1744.0,7309.0,"Los Angeles, CA 90018",1039000.0
345,3.0,2.0,1532.0,5836.0,"Los Angeles, CA 90062",825000.0
346,3.0,3.0,1132.0,40594.5,"Sun Valley, CA 91352",479000.0
347,1.0,1.0,792.0,11349.0,"North Hollywood, CA 91605",299900.0
348,4.0,2.0,1573.0,4803.0,"Los Angeles, CA 90044",725000.0
349,3.0,2.0,1506.0,5401.0,"Los Angeles, CA 90043",710000.0
350,2.0,1.0,784.0,32301.0,"Panorama City, CA 91402",349000.0
351,5.0,4.5,6827.0,20079.0,"Los Angeles, CA 90039",5300000.0
352,4.0,2.0,1377.0,5615.0,"Los Angeles, CA 90018",860000.0
353,2.0,2.0,870.0,234837.0,"Tarzana, CA 91356",389000.0
354,7.0,6.0,,129640.50000000001,"Beverly Hills, CA 90210",11700000.0
355,2.0,2.0,1210.0,28372.5,"Playa Vista, CA 90094",879000.0
356,3.0,3.0,2674.0,12222.000000000002,"Woodland Hills, CA 91364",1425000.0
357,3.0,2.0,1150.0,6251.0,"Los Angeles, CA 90045",999000.0
358,3.0,2.0,1484.0,6374.0,"Mission Hills, CA 91345",750000.0
